numero_pedido,cod_cliente,cnpj,nome_cliente,grupo_cliente,regiao,endereco_completo,qtde_itens,peso_itens,latitude,longitude,janela_descarga,anomalia
3740818,10478,56786452000286,SUPERMERCADO ALVORADA DE ITU LTDA,Alvorada,0,"Rua ADELIO PAZINATTO, 251, JARDIM AEROPORTO I, Itu, São Paulo",12,240.0,-23.26417,-47.29917,30,0
3740821,201881,36853255000144,SURANA APª RODRIGUES DE CAMPOS 396625258,Nenhum,0,"Rua JOAO DE CAMARGO, 352, PQ RES NOVO MUNDO, Boituva, São Paulo",18,350.0,-23.2628736,-47.6716318,30,0
3740823,10708,4153386000122,MARCELO URZEDO DE OLIVEIRA ELDORADO EPP,Nenhum,0,"Avenida Caraita, 194, Centro, Eldorado, São Paulo",45,900.0,-24.52,-48.10806,30,0
3740833,12000,56311970000162,PAULO NAKADA GUARULHOS-EPP,Nenhum,0,"Rua Lagoa Seca, 660, Jardim Triunfo, Guarulhos, São Paulo",5,100.0,-23.41433,-46.4037699,30,0
3740835,3660,3911397000161,MERCADÃO DA CARNE ABC LTDA,Nenhum,0,"Avenida Lico Maia, 552, Cerraria, Diadema, São Paulo",22,440.0,-23.6992148,-46.6104069,30,0
3740842,213397,55417128000147,GF ALIMENTOS LTDA,Nenhum,0,"Rua RODRIGO FERNANDES, LT 21, JD. SANTA PAULA, Guarulhos, São Paulo",5,100.0,-23.46278,-46.53333,30,0
3740844,751,45019692000158,AVICOLA E MERCEARIA MARIZ LTDA,Nenhum,0,"Avenida BRASILIA, 581, Campanário, Diadema, São Paulo",6,110.0,-23.6682373,-46.6185895,30,0
3740890,197000,31881926000167,SUPERM. JANDIRA LTDA,Nenhum,0,"Avenida DOM PEDRO II, 70, Jardim Imperial, Atibaia, São Paulo",4,80.0,-23.1458027,-46.5801947,30,0
3740892,192234,24335023000115,TAMIRES REGINA BATISTA B.RODRIGUES,Nenhum,0,"Rua PADRE CICERO ROMAO BATISTA, 234, Parque Imperial, Barueri, São Paulo",7,135.0,-23.4886307,-46.8133445,30,0
3740894,207656,14785196000181,IZABEL DOS SANTOS PONTES VAREJISTA DE AL,Nenhum,0,"Rua DR. NUNO SILVA, 220, Centro, Eldorado, São Paulo",5,95.0,-24.52,-48.10806,30,0
3740895,202727,37021479000152,G.V. COMERCIO DE ALIMENTOS LTDA,Nenhum,0,"Rua FRANCISCO TOSCANO, 10, Parque das Rosas, Itu, São Paulo",5,100.0,-23.2798294,-47.298724,30,0
3740898,954,43488980000126,CASA DE CARNES DALCIN LTDA,Nenhum,0,"Rua Prefeito Antonio Garrido, 252, Jordanesia, Cajamar, São Paulo",20,400.0,-23.3362606,-46.8392834,30,0
3740909,202957,7051513000170,AÇOUGUE NOVA VIDA INDAIA LTDA,Nenhum,0,"Rua SERAPHIN GILBERTO CANDELLO, 1519, JD SAO CONRADO, Indaiatuba, São Paulo",7,140.0,-23.08842,-47.2119,30,0
3740911,213789,22893182000100,PURO SABOR SERVIÇOS DE ALIMENTAÇÃO LTDA,Nenhum,0,"Rua SERIEMAS, DAS, 550, VILA MATHIESEN, Americana, São Paulo",11,220.0,-22.7679745,-47.3267778,30,0
3740921,190649,21700212000151,SACOLÃO GRANJA VIANA LTDA,Sacolão Saúde,0,"Rua USHIMA KIRA, S/N, Granja Viana, Cotia, São Paulo",8,140.0,-23.5920398,-46.8348449,30,0
3740927,14108,8413116000164,PATRICIA DE AGUIAR SILVA LTDA ME,Nenhum,0,"Avenida MANOEL ISIDORO MARTINS, 1084, Cidade Martins, Guarulhos, São Paulo",5,100.0,-23.43149,-46.51214,30,0
3740930,205754,44747898000131,MG SUPERMERCADO LTDA,Nenhum,0,"Rua EMILIA PIRES, 365, Centro, Embu-Guaçu, São Paulo",50,1000.0,-23.8294539,-46.8169557,30,0
3740939,10162,7013199000131,SUP. E RESTAURANTE JVA EIRELI,Monte Serrat,0,"Praça SÃO PAULO, 97, Centro, Itupeva, São Paulo",12,240.0,-23.1521891,-47.0570231,30,0
3740940,12905,7013199000212,SUP. E RESTAURANTE JVA EIRELLI,Monte Serrat,0,"Rua JOÃO SABIO GONÇALVES, 132, Jardim Ana Luiza, Itupeva, São Paulo",24,475.0,-23.1582683,-47.0422031,30,0
3740955,208036,44634928000101,J.R.M COMERCIO DE PRODUTOS ALIMENTICIOS ,Nenhum,0,"Rua REMULO ZOPPI, 505, VILA GEORGINA I, Indaiatuba, São Paulo",10,200.0,-23.0785522,-47.2069032,30,0
3740956,208037,44634538000123,J.R.M SUPER COMERCIAL DE ALIMENTOS LTDA,Nenhum,0,"Rua THEODORO MANTOANELLI, 52, Itaici, Indaiatuba, São Paulo",7,140.0,-23.1070653,-47.182188,30,0
3740957,208035,44635150000147,JRM COMERCIAL DE ALIMENTOS LTDA,Nenhum,0,"Rua INDAIAS, DOS, 918, Santa Cruz, Indaiatuba, São Paulo",7,140.0,-23.08842,-47.2119,30,0
3740958,208033,44627773000178,JRM PRODUTOS ALIMENTICIOS LTDA,Nenhum,0,"Avenida vereador jose donato, 1193, Vilarejo, Cabreúva, São Paulo",7,140.0,-23.275325,-47.0495177,30,0
3740960,208031,37111008000135,MIRANDA & MIRANDA SUPERMERCADO LTDA,Nenhum,0,"Rua carlos sthal, 18, Residencial Monte Verde, Indaiatuba, São Paulo",7,140.0,-23.1047535,-47.2338758,30,0
3740961,195459,18372024000137,CASA DE CARNES CHARLOTTE LTDA,Maria Cida,0,"Rua NICOLA FELICE, 36, PARQUE PARAISO, Itapecerica da Serra, São Paulo",1,20.0,-23.71694,-46.84917,30,0
3740963,204045,39895236000179,RCL MERC. AÇOUGUE E PADARIA LTDA,REDE DON,0,"Estrada FAZENDINHA, 281, POUSADA DOS BANDEIRANTES, Carapicuíba, São Paulo",15,300.0,-23.52272,-46.835,30,0
3740971,210933,47335097000823,SUPERBOI COMERCIO DE CARNES LTDA,Rede Estoril,0,"Rua LOUVEIRA, 541, JARDIM MARILENA, Guarulhos, São Paulo",6,120.0,-23.423113,-46.4937482,30,0
3740973,210852,52098579000170,ACOUGUE QUILO E GRAMA LTDA,Nenhum,0,"Avenida PRESIDENTE JUSCELINO, 333, Piraporinha, Diadema, São Paulo",5,100.0,-23.6830194,-46.5922176,30,0
3740980,210770,50273744000158,50.273.744 JARDIEL DA SILVA BARBOSA,Nenhum,0,"Rua NOSSA SENHORA APARECIDA, 31, Vila das Malvinas, Guarulhos, São Paulo",9,180.0,-23.4595654,-46.5081069,30,0
3740985,200568,51033629000179,PROENÇA COM. DE HORTIFRUTI LTDA,Nenhum,0,"Avenida AYRTON SENNA DA SILVA, 450, VILA JAQUITIBAS, Campinas, São Paulo",6,120.0,-22.90556,-47.06083,30,0
3740987,167082,8571723000152,MERCADINHO PIRATININGA DE GENEROS ALIMEN,Piratininga,0,"Avenida JOSÉ HERCULANO, 7040, Porto Novo, Caraguatatuba, São Paulo",14,275.0,-23.6946544,-45.4422191,30,0
3740989,213970,55806741000156,SUPERMERCADO PANDA 2 LTDA,Nenhum,0,"Avenida COMENDADOR DANTE CARRARO, 576, Cidade Ariston Estela Azevedo, Carapicuíba, São Paulo",4,80.0,-23.5340401,-46.8534601,30,0
3740992,215696,76430438014121,IRMÃOS MUFFATO S.A,REDE MUFFATO,0,"Avenida RICARDO BASSOLI CEZARE, 1567, Jardim das Bandeiras, Campinas, São Paulo",34,675.0,-22.9495493,-47.0928675,30,0
3740999,215418,53449951000109,MANAGON ACOUGUE LTDA,Nenhum,0,"Rua CLAUDIO MANOEL DA COSTA, 43, Parque Imperial, Barueri, São Paulo",5,100.0,-23.4831217,-46.8053765,30,0
3741048,802,1444210000131,COMERCIO DE ALIMENTOS ALVES E FARIAS LTD,Rede Parana,0,"Rua OSVALDO RAMOS, 100, Parque Mikail, Guarulhos, São Paulo",72,1405.0,-23.46278,-46.53333,30,0
